,xcentre,ycentre,zcentre,cut_vulcan,cut_poz,f1
101,475086.672,7481595.9,1572.5,2.739,0.83,27.0
102,475092.446,7481585.274,1572.5,2.762,0.646,27.0
103,475068.151,7481571.791,1572.5,1.9869999999999999,2.71,27.0
104,475062.078,7481568.421,1572.5,1.8519999999999999,2.438,27.0
105,475050.381,7481582.675,1572.5,1.6030000000000002,2.171,27.0
106,475056.304,7481579.047,1572.5,1.681,3.178,27.0
107,475110.667,7481595.385,1572.5,2.917,2.024,27.0
108,475122.664,7481595.128,1572.5,2.167,0.586,27.0
109,475116.44,7481584.759,1572.5,2.095,2.03,27.0
110,475128.588,7481591.5,1572.5,1.35,0.52,27.0
111,475134.511,7481587.873,1572.5,1.265,0.663,27.0
112,475110.217,7481574.39,1572.5,0.409,2.062,27.0
113,475116.29,7481577.761,1572.5,0.413,0.645,27.0
114,475122.364,7481581.131,1572.5,1.082,0.614,27.0
115,475134.211,7481573.876,1572.5,0.618,0.526,27.0
116,475146.208,7481573.619,1572.5,0.562,0.71,27.0
117,475140.435,7481584.245,1572.5,1.218,0.31,27.0
118,475022.386,7481435.297,1587.5,1.785,2.23,25.0
119,475038.025,7481403.534,1587.5,2.005,2.26,26.0
120,475023.846,7481421.373,1587.5,1.906,2.2,25.0
121,475059.836,7481412.743,1587.5,1.7180000000000002,1.0,26.0
122,475125.945,7481404.845,1587.5,0.48700000000000004,0.539,26.0
123,475107.771,7481401.696,1587.5,0.429,0.893,26.0
124,475097.958,7481406.034,1587.5,0.419,0.369,26.0
125,475122.875,7481435.582,1587.5,0.45,0.711,26.0
126,475121.745,7481446.222,1587.5,2.131,2.582,26.0
127,475129.297,7481463.165,1587.5,0.496,1.133,26.0
128,475012.474,7481414.89,1587.5,1.78,0.789,26.0
129,475018.992,7481418.417,1587.5,1.817,1.52,26.0
130,475105.51,7481422.976,1587.5,1.67,2.264,26.0
131,475032.86,7481450.472,1587.5,2.452,1.847,25.0
132,475027.258,7481446.365,1587.5,2.073,2.282,25.0
133,475038.463,7481454.578,1587.5,2.375,2.258,25.0
134,475047.761,7481438.36,1587.5,2.1069999999999998,2.338,25.0
135,475128.166,7481473.805,1587.5,0.5760000000000001,0.537,26.0
136,475025.097,7481408.834,1587.5,1.869,1.335,26.0
137,475038.125,7481409.824,1587.5,2.003,2.673,26.0
138,475036.51,7481415.663,1587.5,1.992,2.263,26.0
139,475044.667,7481401.326,1587.5,1.841,0.623,26.0
140,475031.408,7481405.806,1587.5,1.874,0.75,26.0
141,475068.518,7481419.046,1587.5,0.405,3.039,26.0
142,475069.649,7481408.405,1587.5,0.41100000000000003,1.527,26.0
143,475071.237,7481392.49,1587.5,0.42200000000000004,1.078,26.0
144,475071.336,7481398.78,1587.5,0.419,2.981,26.0
145,475103.249,7481444.257,1587.5,1.845,2.792,26.0
146,475093.436,7481448.594,1587.5,2.004,1.617,26.0
147,475094.566,7481437.954,1587.5,2.001,0.905,26.0
148,475076.07,7481435.988,1587.5,2.362,0.549,26.0
149,475088.145,7481410.371,1587.5,0.475,0.438,26.0
150,475084.664,7481394.515,1587.5,0.45899999999999996,0.513,26.0
151,475080.05,7481856.7,1587.5,2.386,6.101,3.0
152,475104.05,7481856.41,1587.5,2.294,3.576,2.0
153,475048.79,7481840.97,1587.5,2.347,2.087,3.0
154,475144.78,7481839.84,1587.5,1.956,1.952,2.0
155,475121.21,7481823.92,1587.5,1.5919999999999999,1.715,2.0
156,475056.14,7481873.08,1587.5,0.552,1.35,3.0
157,475096.78,7481840.41,1587.5,1.814,1.616,2.0
158,475145.21,7481823.64,1587.5,1.692,1.522,2.0
159,475128.05,7481856.13,1587.5,2.164,1.426,2.0
160,475112.78,7481840.22,1587.5,1.92,1.379,2.0
161,475137.75,7481895.99,1587.5,0.35600000000000004,1.172,4.0
162,475049.21,7481824.76,1587.5,2.19,1.167,3.0
163,475145.94,7481911.9,1587.5,1.159,1.215,4.0
164,475105.19,7481848.37,1587.5,2.057,0.744,2.0
165,475072.78,7481840.69,1587.5,2.2119999999999997,0.728,3.0
166,475078.09,7481920.66,1587.5,1.338,0.739,4.0
167,475065.57,7481880.83,1587.5,0.521,0.613,3.0
168,475145.56,7481879.9,1587.5,1.525,0.369,2.0
169,475056.05,7481856.98,1587.5,2.326,0.478,3.0
170,475073.75,7481896.74,1587.5,0.505,0.455,3.0
171,475105.94,7481912.36,1587.5,0.753,0.273,4.0
172,475105.75,7481896.36,1587.5,0.33,0.343,4.0
173,475121.56,7481880.18,1587.5,0.35200000000000004,0.268,4.0
174,475105.56,7481880.37,1587.5,0.36200000000000004,0.262,4.0
175,475128.13,7481872.23,1587.5,0.4,0.328,3.0
176,475128.78,7481840.03,1587.5,1.913,3.647,2.0
177,475113.75,7481896.27,1587.5,0.331,0.222,4.0
178,475112.81,7481816.28,1587.5,1.4609999999999999,0.969,2.0
179,475118.08,7481920.19,1587.5,1.3519999999999999,0.823,4.0
180,475110.08,7481920.28,1587.5,1.347,0.648,4.0
181,475113.94,7481912.27,1587.5,0.737,1.195,4.0
182,475117.84,7481904.22,1587.5,0.682,0.358,4.0
183,475109.84,7481904.32,1587.5,0.723,0.32,4.0
184,475123.06,7481888.13,1587.5,0.377,0.304,4.0
185,475131.05,7481888.04,1587.5,0.39,0.701,4.0
186,475129.56,7481880.09,1587.5,0.391,0.367,4.0
187,475113.56,7481880.27,1587.5,0.341,0.308,4.0
188,475125.84,7481904.13,1587.5,0.6759999999999999,0.259,4.0
189,475133.84,7481904.04,1587.5,0.635,0.433,4.0
190,475129.75,7481896.08,1587.5,0.374,0.229,4.0
191,475129.94,7481912.08,1587.5,0.7140000000000001,1.419,4.0
192,475137.94,7481911.99,1587.5,0.677,0.875,4.0
193,475141.84,7481903.94,1587.5,1.3259999999999998,1.426,4.0
194,475121.75,7481896.18,1587.5,0.369,0.271,4.0
195,475120.05,7481856.23,1587.5,2.144,0.644,2.0
196,475129.19,7481848.09,1587.5,2.028,2.808,2.0
197,475121.0,7481832.18,1587.5,1.766,2.46,2.0
198,475113.21,7481824.02,1587.5,1.4240000000000002,1.516,2.0
199,475120.13,7481872.33,1587.5,0.335,0.339,3.0
200,475113.38,7481864.27,1587.5,0.44299999999999995,0.479,3.0
