midx,midy,midz,cut_real,cut_est,ugcut,f1
474600.262,7479420.647,1602.500, 0.351, 0.157,10,8
474636.860,7479394.978,1617.500, 0.360, 0.124,10,6
474658.993,7479422.478,1617.500, 0.093, 0.078,10,6
474637.277,7479401.128,1632.500, 0.034, 0.145,10,4
474649.000,7479425.000,1602.500, 0.204, 0.145,10,9
474655.871,7479402.377,1617.500, 0.449, 0.100,10,6
474645.798,7479420.759,1632.500, 0.095, 0.108,10,4
474639.982,7479415.079,1617.500, 0.078, 0.102,10,6
474658.599,7479403.538,1632.500, 0.071, 0.160,10,5
474691.902,7479413.637,1632.500, 0.093, 0.130,10,5
474700.730,7479407.617,1632.500, 0.037, 0.138,10,5
474695.187,7479422.613,1632.500, 0.105, 0.112,10,5
474692.537,7479403.341,1632.500, 0.085, 0.112,10,5
474679.089,7479405.947,1632.500, 0.120, 0.133,10,5
474673.321,7479399.725,1617.500, 0.134, 0.096,10,6
474709.001,7479413.109,1617.500, 0.088, 0.077,10,6
474680.365,7479404.421,1617.500, 0.180, 0.088,10,6
474711.136,7479399.298,1632.500, 0.056, 0.088,10,5
474690.455,7479422.537,1617.500, 0.068, 0.079,10,6
474676.443,7479419.826,1617.500, 0.129, 0.074,10,6
474681.820,7479404.049,1632.500, 0.160, 0.129,10,5
474685.543,7479420.876,1632.500, 0.107, 0.130,10,5
474714.602,7479418.019,1632.500, 0.075, 0.073,10,5
474714.892,7479427.125,1632.500, 0.065, 0.067,10,5
474715.550,7479428.994,1617.500, 0.088, 0.073,10,6
474737.472,7479430.304,1632.500, 0.051, 0.033,10,5
474722.606,7479410.686,1617.500, 0.077, 0.060,10,6
474543.440,7479465.200,1632.500, 0.206, 0.134,10,4
474549.840,7479456.590,1632.500, 0.352, 0.108,10,4
474586.080,7479470.010,1632.500, 0.322, 0.085,10,4
474564.760,7479467.610,1632.500, 0.083, 0.081,10,4
474571.160,7479458.990,1632.500, 0.230, 0.091,10,4
474583.960,7479441.770,1632.500, 0.105, 0.094,10,4
474577.560,7479450.380,1632.500, 0.075, 0.090,10,4
474554.100,7479466.400,1632.500, 0.117, 0.135,10,4
474581.820,7479460.200,1632.500, 0.059, 0.090,10,4
474575.420,7479468.810,1632.500, 0.096, 0.082,10,4
474573.300,7479440.570,1632.500, 0.090, 0.092,10,4
474566.900,7479449.180,1632.500, 0.127, 0.094,10,4
474588.220,7479451.590,1632.500, 0.151, 0.091,10,4
474562.640,7479439.370,1632.500, 0.049, 0.086,10,4
474556.240,7479447.980,1632.500, 0.122, 0.090,10,4
474611.263,7479469.291,1617.500, 0.240, 0.127,10,7
474602.467,7479463.147,1617.500, 0.066, 0.134,10,7
474601.021,7479434.363,1632.500, 0.043, 0.097,10,4
474620.831,7479464.283,1617.500, 0.067, 0.121,10,6
474598.561,7479467.200,1602.500, 1.100, 0.138,10,8
474613.806,7479463.807,1632.500, 0.044, 0.083,10,4
